File;Time(sec);Max found clique size;File Description
hamming8-4.clq.txt;600;16;
hamming10-4.clq.txt;600;32;
gen400_p0.9_65.clq.txt;600;43;
C125.9.clq.txt;600;34;
sanr200_0.7.clq.txt;600;18;
brock400_1.clq.txt;600;21;
brock200_1.clq.txt;600;19;
brock200_4.clq.txt;600;15;
brock200_2.clq.txt;600;12;
keller4.clq.txt;600;11;
gen400_p0.9_75.clq.txt;600;45;
gen200_p0.9_44.clq.txt;600;35;
gen400_p0.9_55.clq.txt;600;42;
p_hat500-1.clq.txt;600;8;
johnson16-2-4.clq.txt;600;8;
brock200_3.clq.txt;600;13;
C250.9.clq.txt;600;38;
p_hat300-1.clq.txt;600;8;
gen200_p0.9_55.clq.txt;600;40;
MANN_a45.clq.txt;600;342;
